day_count,HistoricalDate,OPEN,CLOSE,daily_change,daily_change_perc,year
142,08-06-2022,16474.95,16356.25,-118.7,-0.720487771,2022
143,07-06-2022,16469.6,16416.35,-53.25,-0.323322971,2022
144,06-06-2022,16530.7,16569.55,38.85,0.235017271,2022
145,03-06-2022,16761.65,16584.3,-177.35,-1.058070059,2022
146,02-06-2022,16481.65,16628,146.35,0.887957213,2022
147,01-06-2022,16594.4,16522.75,-71.65,-0.431772164,2022
148,31-05-2022,16578.45,16584.55,6.1,0.036794755,2022
149,30-05-2022,16527.9,16661.4,133.5,0.807725119,2022
150,27-05-2022,16296.6,16352.45,55.85,0.342709522,2022
151,26-05-2022,16105,16170.15,65.15,0.404532754,2022
152,25-05-2022,16196.35,16025.8,-170.55,-1.053015031,2022
153,24-05-2022,16225.55,16125.15,-100.4,-0.618777176,2022
154,23-05-2022,16290.95,16214.7,-76.25,-0.46805128,2022
155,20-05-2022,16043.8,16266.15,222.35,1.385893616,2022
156,19-05-2022,15917.4,15809.4,-108,-0.678502771,2022
157,18-05-2022,16318.15,16240.3,-77.85,-0.477076139,2022
158,17-05-2022,15912.6,16259.3,346.7,2.178776567,2022
159,16-05-2022,15845.1,15842.3,-2.8,-0.017671078,2022
160,13-05-2022,15977,15782.15,-194.85,-1.219565626,2022
161,12-05-2022,16021.1,15808,-213.1,-1.330120903,2022
162,11-05-2022,16270.05,16167.1,-102.95,-0.632757736,2022
163,10-05-2022,16248.9,16240.05,-8.85,-0.054465225,2022
164,09-05-2022,16227.7,16301.85,74.15,0.456934747,2022
165,06-05-2022,16415.55,16411.25,-4.3,-0.026194675,2022
166,05-05-2022,16854.75,16682.65,-172.1,-1.021077144,2022
167,04-05-2022,17096.6,16677.6,-419,-2.450779687,2022
168,02-05-2022,16924.45,17069.1,144.65,0.854680654,2022
169,29-04-2022,17329.25,17102.55,-226.7,-1.308192795,2022
170,28-04-2022,17189.5,17245.05,55.55,0.323162396,2022
171,27-04-2022,17073.35,17038.4,-34.95,-0.204704993,2022
172,26-04-2022,17121.3,17200.8,79.5,0.4643339,2022
173,25-04-2022,17009.05,16953.95,-55.1,-0.323945194,2022
174,22-04-2022,17242.75,17171.95,-70.8,-0.410607357,2022
175,21-04-2022,17234.6,17392.6,158,0.91676047,2022
